entity,year,record,builtup,carbon,cropland,fishing,forest,grazing,total
Germany,1961,EFConsPerCap,0.08,2.46,0.54,0.25,0.47,0.31,4.12
Germany,1961,BiocapPerCap,0.08,0,0.29,0.09,0.8,0.13,1.39
Germany,1962,EFConsPerCap,0.09,2.57,0.64,0.27,0.49,0.33,4.39
Germany,1962,BiocapPerCap,0.09,0,0.34,0.09,0.79,0.13,1.44
Germany,1963,EFConsPerCap,0.1,2.47,0.59,0.28,0.44,0.32,4.2
Germany,1963,BiocapPerCap,0.1,0,0.34,0.09,0.78,0.13,1.44
Germany,1964,EFConsPerCap,0.1,2.5,0.6,0.24,0.47,0.31,4.22
Germany,1964,BiocapPerCap,0.1,0,0.34,0.08,0.78,0.13,1.43
Germany,1965,EFConsPerCap,0.09,2.48,0.59,0.28,0.48,0.32,4.24
Germany,1965,BiocapPerCap,0.09,0,0.32,0.08,0.77,0.13,1.4
Germany,1966,EFConsPerCap,0.09,2.64,0.6,0.29,0.49,0.29,4.4
Germany,1966,BiocapPerCap,0.09,0,0.32,0.08,0.77,0.13,1.38
Germany,1967,EFConsPerCap,0.11,2.82,0.65,0.32,0.45,0.27,4.62
Germany,1967,BiocapPerCap,0.11,0,0.38,0.08,0.76,0.13,1.46
Germany,1968,EFConsPerCap,0.11,2.91,0.65,0.32,0.5,0.29,4.78
Germany,1968,BiocapPerCap,0.11,0,0.38,0.08,0.76,0.12,1.45
Germany,1969,EFConsPerCap,0.11,3.11,0.64,0.28,0.57,0.3,5.02
Germany,1969,BiocapPerCap,0.11,0,0.36,0.08,0.75,0.12,1.43
Germany,1970,EFConsPerCap,0.1,4.7,0.66,0.25,0.59,0.29,6.59
Germany,1970,BiocapPerCap,0.1,0,0.34,0.08,0.75,0.12,1.39
Germany,1971,EFConsPerCap,0.11,4.64,0.7,0.21,0.59,0.29,6.54
Germany,1971,BiocapPerCap,0.11,0,0.37,0.08,0.75,0.12,1.43
Germany,1972,EFConsPerCap,0.11,4.53,0.74,0.2,0.56,0.32,6.46
Germany,1972,BiocapPerCap,0.11,0,0.38,0.08,0.74,0.12,1.43
Germany,1973,EFConsPerCap,0.12,4.86,0.72,0.21,0.62,0.25,6.77
Germany,1973,BiocapPerCap,0.12,0,0.39,0.08,0.74,0.12,1.44
Germany,1974,EFConsPerCap,0.13,4.63,0.72,0.22,0.57,0.22,6.5
Germany,1974,BiocapPerCap,0.13,0,0.42,0.08,0.74,0.12,1.48
Germany,1975,EFConsPerCap,0.12,4.56,0.71,0.2,0.51,0.25,6.35
Germany,1975,BiocapPerCap,0.12,0,0.41,0.08,0.74,0.11,1.47
Germany,1976,EFConsPerCap,0.1,4.77,0.71,0.19,0.56,0.28,6.62
Germany,1976,BiocapPerCap,0.1,0,0.34,0.08,0.75,0.11,1.38
Germany,1977,EFConsPerCap,0.12,4.67,0.75,0.16,0.59,0.26,6.56
Germany,1977,BiocapPerCap,0.12,0,0.4,0.08,0.75,0.11,1.47
Germany,1978,EFConsPerCap,0.12,4.98,0.8,0.14,0.61,0.25,6.91
Germany,1978,BiocapPerCap,0.12,0,0.42,0.08,0.75,0.11,1.49
Germany,1979,EFConsPerCap,0.13,5.29,0.81,0.13,0.63,0.26,7.24
Germany,1979,BiocapPerCap,0.13,0,0.43,0.08,0.75,0.11,1.49
Germany,1980,EFConsPerCap,0.13,4.52,0.83,0.12,0.65,0.25,6.5
Germany,1980,BiocapPerCap,0.13,0,0.42,0.08,0.74,0.11,1.48
Germany,1981,EFConsPerCap,0.13,4.32,0.83,0.11,0.61,0.23,6.23
Germany,1981,BiocapPerCap,0.13,0,0.43,0.08,0.74,0.11,1.49
Germany,1982,EFConsPerCap,0.14,4.04,0.86,0.12,0.6,0.23,5.98
Germany,1982,BiocapPerCap,0.14,0,0.46,0.08,0.74,0.11,1.53
Germany,1983,EFConsPerCap,0.13,3.83,0.87,0.11,0.6,0.26,5.79
Germany,1983,BiocapPerCap,0.13,0,0.42,0.08,0.74,0.11,1.48
Germany,1984,EFConsPerCap,0.15,4.11,0.91,0.11,0.6,0.25,6.13
Germany,1984,BiocapPerCap,0.15,0,0.49,0.08,0.74,0.11,1.57
Germany,1985,EFConsPerCap,0.15,4.3,0.94,0.12,0.59,0.25,6.35
Germany,1985,BiocapPerCap,0.15,0,0.51,0.08,0.75,0.11,1.59
Germany,1986,EFConsPerCap,0.15,4.36,0.9,0.11,0.61,0.24,6.37
Germany,1986,BiocapPerCap,0.15,0,0.5,0.08,0.74,0.11,1.58
Germany,1987,EFConsPerCap,0.15,4.31,0.87,0.1,0.62,0.24,6.29
Germany,1987,BiocapPerCap,0.15,0,0.48,0.08,0.75,0.11,1.56
Germany,1988,EFConsPerCap,0.15,4.39,0.91,0.1,0.62,0.24,6.41
Germany,1988,BiocapPerCap,0.15,0,0.51,0.08,0.74,0.11,1.59
Germany,1989,EFConsPerCap,0.15,4.27,0.87,0.1,0.67,0.24,6.3
Germany,1989,BiocapPerCap,0.15,0,0.5,0.08,0.74,0.1,1.57
Germany,1990,EFConsPerCap,0.15,4.14,0.87,0.1,1.03,0.23,6.52
Germany,1990,BiocapPerCap,0.15,0,0.5,0.08,0.76,0.1,1.58
Germany,1991,EFConsPerCap,0.17,4,0.89,0.09,0.52,0.22,5.89
Germany,1991,BiocapPerCap,0.17,0,0.53,0.08,0.75,0.1,1.62
